coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h
bitcoin,BTC,895214169035.0375,-0.69368694,0.87670539,3.28386416,47574.375983346974,30829652535.355713
ethereum,ETH,416486323117.4478,-1.19547435,3.94883089,2.00823754,3543.3191506932862,18084033408.183838
cardano,ADA,78431851087.51108,-0.12349769,2.46797134,0.86460766,2.44808055898761,4206184012.1372385
binance-coin,BNB,71403869658.28574,-0.86480519,2.52560222,3.90327916,424.67662899853747,1864378709.4248126
tether,USDT,68294494301.502235,0.00070059,-0.02035834,0.022045,1.00048666028747,68803982858.70781
xrp,XRP,51342160146.256065,-0.36589467,1.17998321,0.60591202,1.10123754761649,3156805729.8955746
solana,SOL,45978063394.26518,0.28481178,-1.86758957,-25.52391179,154.9680756065878,3473747928.875688
polkadot-new,DOT,35042359664.87137,-0.66613324,-3.99278841,28.19521572,35.48308387402193,2285504547.289664
dogecoin,DOGE,31824843454.32723,-0.36368576,0.51136672,-4.25614497,0.24238845947643,1040492937.8823906
usd-coin,USDC,29169483847.50514,-0.00293322,-0.01674274,-0.00021447,1.00020542543354,2493378339.6714535
uniswap,UNI,16399895370.377108,-0.63327633,5.19971748,15.43128531,26.81282375899267,656577849.081757
terra-luna,LUNA,14337848274.632555,0.61670639,-1.83040507,18.42749819,35.65738970465003,815449834.9288572
chainlink,LINK,14191418604.72503,-1.62485077,4.82697012,16.61651844,31.39628019304292,2057383012.2039552
avalanche,AVAX,13205073722.065434,2.19754972,17.25184415,59.49549,59.9449766275309,1421876915.8003743
binance-usd,BUSD,12674591885.839119,0.00649095,-0.0242266,-0.01534853,1.00016030745076,5194463472.683751
litecoin,LTC,12557675052.562065,-1.18338431,3.61350176,4.61798187,188.12259480364375,3203208834.139578
bitcoin-cash,BCH,12058775490.764605,-0.82558345,0.0321063,-4.49627879,639.8236056813778,5299505039.345559
algorand,ALGO,9969373278.02996,-2.36876856,-6.34968822,-10.49570775,1.90127561081423,777929831.7630994
wrapped-bitcoin,WBTC,9806071773.206114,-0.74819015,1.07821247,3.2036534,47632.13552228261,293811370.28135824
internet-computer,ICP,9656033079.25171,-1.26484582,2.53151915,-1.45761429,59.30450637075861,373640337.96958643
polygon,MATIC,9544063781.969553,-2.83905645,6.1176471,8.90687813,1.43470121129856,1031616317.4910791
filecoin,FIL,9574761640.195267,1.35100162,5.93187484,-1.40829361,89.58749429054058,1513206302.314275
ftx-token,FTT,8360784834.613885,-0.82902093,2.61393282,-13.10821487,69.2258575689202,593091137.7399029
tron,TRX,8273348411.075485,-0.31851976,-0.40664939,25.81736898,0.11545336266983,2683325431.6637387
stellar,XLM,7938533559.709789,-0.47655444,1.03359141,1.22807369,0.33489485173766,568493438.7304622
vechain,VET,7620246033.219763,-1.37457514,1.80127087,-0.14171347,0.11848212190529,434752221.69919807
ethereum-classic,ETC,7514590190.58177,-0.56822941,1.52889966,-1.34010583,57.89941876019697,883058960.6296304
cosmos,ATOM,7075113409.137041,-1.52094631,-3.83479485,39.40075233,31.95083965010359,1142236821.8275545
theta,THETA,6645219691.88344,-1.34808446,-2.53140082,-2.16001022,6.64521969188344,355236261.4836744
multi-collateral-dai,DAI,6547144398.623254,0.00217933,0.0185162,0.03675912,1.00077893191993,334711398.06968874
tezos,XTZ,5745379584.280065,-1.50268696,-7.57851098,53.86100892,6.68304573434802,935368854.7240498
aave,AAVE,5248977739.455075,-0.69031328,0.91338444,20.32671874,398.3369504612642,621442394.0868983
pancakeswap,CAKE,4893610664.196428,-0.98311211,4.64476058,11.3176748,22.08149838118928,411570622.65325576
elrond-egld,EGLD,4843371726.477414,-0.4661465,-9.75447684,35.76620268,249.02663759849065,293161280.3526976
ecash,XEC,4747925655.253492,-1.83375936,-2.93010727,0.33107296,0.00025195705851,228705503.60520777
monero,XMR,4797346602.436322,-1.16524818,-0.14401218,2.65914878,266.61265371651916,237389958.48999885
eos,EOS,4771303817.998621,-0.52385442,3.35548771,4.83356999,4.97954307984611,1389772650.780435
crypto-com-coin,CRO,4772438345.500256,-0.36546681,2.43273274,11.25784054,0.18891009614627,50474001.15038904
hedera-hashgraph,HBAR,4727067509.503575,0.01279242,-5.97010809,46.30577218,0.49070690675068,1047163375.2184495
quant,QNT,4464163771.333794,0.32692007,1.29965914,21.15478541,369.7722729784904,101570708.22510207
iota,MIOTA,4330141909.048812,-1.49418395,0.67296078,3.3746563,1.55786822526546,143351965.46686897
axie-infinity,AXS,4197914758.196663,-2.26822493,3.55458444,-0.27469751,68.92278878950314,293091281.353976
the-graph,GRT,4138086102.374785,-1.92811663,2.46605748,7.93485848,0.8775060360418,156313560.40348908
near-protocol,NEAR,4127066122.757866,-0.651831,0.10380583,-18.55741966,8.96071270434088,324636998.30568075
bitcoin-bep2,BTCB,4042343655.147988,-0.8423423,0.57635402,3.35697473,47490.877882502944,21535061.01107104
neo,NEO,3627769091.748064,-0.68569023,0.46866634,5.13104255,51.4293905969049,362707618.8026598
kusama,KSM,3590103414.8960276,-1.24214156,3.43894335,25.15573699,423.8561809586087,221698197.0518032
fantom,FTM,3521782258.7410583,0.22546541,9.09843522,-17.8615714,1.38380101302841,924870556.6498157
waves,WAVES,3407662616.608374,-1.16778423,10.73683048,17.06781591,32.09342394515691,249892960.4941793
klaytn,KLAY,3372723377.134798,-0.50866782,-0.75204599,-2.81929696,1.3465168004524,92701846.18887721
unus-sed-leo,LEO,3036474251.1546164,-0.44170965,3.25602545,1.59074057,3.18304010189108,2815635.75835075
maker,MKR,3029221390.501816,-0.40156268,7.06102775,1.31636306,3055.7194221838963,157214947.9224077
bitcoin-sv,BSV,2944672308.6456966,-0.20902368,1.74381831,0.03556233,156.26892534653024,354787671.63204837
bittorrent,BTT,2679150348.8548183,-0.34023094,0.50843644,-0.02755847,0.00405961011043,428917374.36416984
